Jurisdiction,State,Type,Year,Description,Energy type,Source,Date entered
Crescent City,CA,Local Ordinance,2003,"In Crescent City, small wind energy conversion systems are not permitted on vacant lots; on a site listed in the National Register of Historic Places or the California Register of Historic Resources; where the system would be visible from any coastal scenic resource area; within one hundred feet of any sensitive or endangered habitat designated by the California Department of Fish and Game without written permission from that agency; or within any public right-of-way, easement, path of travel, or interior traffic circulation system",Wind,"CRESCENT CITY, CAL., ZONING ORDINANCE 695 § 2 (PART) (2003).",3/15
Shasta County,CA,Contested project,2021,"Fountain Wind Project: In Shasta County, the planning commission rejected the permit application for a large wind project. Community members and commissioners acknowledged the financial benefits of the potential project, but ultimately determined the project would increase the risk for wildfire and would potentially limit what types of aircraft could fly over in the event of a fire. Representatives of Native American tribes also opposed the land use. ",Wind,"David Benda, Controversial wind farm rejected after Shasta supervisors back commission, cite fire risks, REDDING RECORD SEARCHLIGHT, Oct. 27, 2021. ",3/15
San Diego County,CA,Contested project,2021,"Jacumba Solar Project: In San Diego County, a solar project of more than 604 acres is being planned near a mobile home community. The project has faced opposition from residents concerned over dust and noise from the project, residents seeking greater community benefits, and a hotel and spa owner suing to block the project over fears of a decline in tourism. County staff plan to present developer guidance to the Board of Supervisors, and a policy will be put in place in 2022",Solar,"Camille Von Kaenel, Jacumba Residents Largely on Their Own to Negotiate with Neighboring Renewable Energy Projects, HOLTVILLE TRIBUNE, Oct. 31, 2021",3/15
Alameda County ,CA,Contested project,2021,"Alameda County Wind Project: Brookfield Renewables’ 80 MW wind project was approved in October 2021. The National Audubon Society along with local Audubon Society chapters filed suit in County Superior Court to challenge the approval, alleging the project is not doing enough to prevent harm to birds.  The suit is still pending.",Wind,"National Audubon Society Sues California County to Improve Bird Protections in Controversial Wind Energy Project, AUDUBON SOCIETY, Nov. 17, 2021.  ",3/15
Kern County,CA,Contested project,2014,"Jawbone Wind Energy: A group of citizens filed suit against the Kern County Board of Supervisors challenging the propriety of an environmental impact report certification approving a 339-megawatt wind farm on a 13,535-acre site in the Tehachapi Wind Resource Area.  On appeal from the Superior Court of Kern County, the Court of Appeal of California affirmed the dismissal of the action",Wind,"Citizens Opposing a Dangerous Env’t v. Cnty. of Kern, 228 Cal. App. 4th 360 (Cal. Ct. App. June 30, 2014).",3/15
Alameda and Contra Costa Counties,CA,Contested project,2008,"Altamont Pass Wind Resource Area: A suit was filed contending that the operators of wind turbines in Alameda County and Contra Costa Counties were killing and injuring birds in violation of the public trust doctrine.  On appeal, the 1st District Court of Appeal of California affirmed that whilst the plaintiffs had standing, the requisite time bringing a petition for a writ of mandate had long passed by the time of the action. ",Wind,"Center for Biological Diversity, Inc. v. FPL Group, Inc., 166 Cal. App. 4th 1349 (Cal. Ct. App. Sept. 18, 2008).",3/15
Alameda County,CA,Contested project,2018,Halus Power: The Heron Bay Homeowners’ Association in San Leandro successfully had approval for a single 100-foot wind turbine set aside and Halus Power did not proceed with the project,Wind,"Heron Bay Homewoners Ass’n v. City of San Leandro, 19 Cal. App. 5th 376 (Cal. Ct. App. Jan. 12, 2018).",3/15
Litchfield County,CT,Contested project,2020,"Connecticut Wind Colebrook project: Of the 6 turbines that BNE Energy proposed to build in Colebrook, three of them were contested in 2014 by community group Fair Wind CT for alleged errors in the approval of BNE’s petition. That year the Connecticut Supreme Court ruled that the errors were harmless and dismissed the lawsuit.   BNE installed two of the three approved wind turbines. In January 2020, BNE Energy submitted a request to the State Siting Council to modify its project and install a wind turbine different to the original approved.  On March 6, 2020, the Executive Director of the Council approved the Modification Request. The plaintiffs filed a petition with the Council seeking a declaratory ruling disallowing the modification.  In December 2020, the Council issued its Final Decision declaring that the Modification Request was free of error. This was appealed to the New Britain Judicial District Superior Court, which ruled in favor of the plaintiffs and held that the Executive Director’s approval of the Modification Request was made in clear error of law.",Wind,"Gold v. State Siting Council, No. HHBCV216063707, 2021 Conn Super LEXIS 1974.",3/15
Alachua County ,FL,Contested project,2021,"Sand Bluff Solar Project: In July 2021, Alachua County commissioners voted to disallow the proposed Sand Bluff Solar Project outside Archer, Florida. Opposition against the project had centered on the project’s proposed location within a historically Black community without adequate community outreach. ",Solar,"Emily Mavrakis, ‘You picked the wrong neighborhood’: County denies Sand Bluff solar project outside Archer, GAINESVILLE SUN, July 7, 2021.",3/15
North Shore Country ,HI,Contested project,2022,"Na Pua Makani Project: Keep the North Shore Country filed a lawsuit challenging the placement of turbines under Honolulu’s zoning ordinance over the project’s proximity to schools and homes. Another organization called Life of the Land filed a motion to block the project’s power purchase agreement. In September 2019, the project’s building permit was rescinded until the project could come into compliance with all applicable requirements.  After two years, the wind farm operator submitted a habitat conservation plan to the Board of Land and Natural Resources and applied for a take license. The Supreme Court of Hawaii ultimately ruled in favor of the state Board of Land and Natural Resources in granting a license to the wind farm operators to take fewer than two bats per year. ",Wind,"Keep the N. Shore Country v. Bd. of Land & Natural Res., No. SCAP-19-0000449, 2022 Haw LEXIS 25 (Feb. 22, 2022).",3/15
