AirConstruction,Project,id,id_qaqc,xata
{'id': '1574'},{'id': '2723'},rec_cn5s4050jhd1hc94ue3g,11485,"{'createdAt': '2024-02-13T19:24:48.976373Z', 'updatedAt': '2024-04-08T18:03:37.440425Z', 'version': 3}"
{'id': '1573'},{'id': '2723'},rec_cn5s407rusrcll7ljho0,11486,"{'createdAt': '2024-02-13T19:24:48.777114Z', 'updatedAt': '2024-04-08T18:03:37.564329Z', 'version': 3}"
{'id': '1581'},{'id': '2875'},rec_cn5s40d0jhd1hc94ue40,11487,"{'createdAt': '2024-02-13T19:24:49.523451Z', 'updatedAt': '2024-04-08T18:03:37.668962Z', 'version': 3}"
{'id': '1575'},{'id': '2728'},rec_cn5s40frusrcll7ljhog,11488,"{'createdAt': '2024-02-13T19:24:49.158772Z', 'updatedAt': '2024-04-08T18:03:37.79488Z', 'version': 3}"
{'id': '1578'},{'id': '2727'},rec_cn5s40frusrcll7ljhp0,11489,"{'createdAt': '2024-02-13T19:24:49.348046Z', 'updatedAt': '2024-04-08T18:03:37.89403Z', 'version': 3}"
{'id': '1591'},{'id': '2944'},rec_cn5s40frusrcll7ljhpg,11490,"{'createdAt': '2024-02-13T19:24:49.723549Z', 'updatedAt': '2024-04-08T18:03:38.007112Z', 'version': 3}"
{'id': '1592'},{'id': '3106'},rec_cn5s40frusrcll7ljhq0,11491,"{'createdAt': '2024-02-13T19:24:49.900796Z', 'updatedAt': '2024-04-08T18:03:38.111227Z', 'version': 3}"
{'id': '1593'},{'id': '2788'},rec_cn5s40l0jhd1hc94ue4g,11492,"{'createdAt': '2024-02-13T19:24:50.08318Z', 'updatedAt': '2024-04-08T18:03:38.227443Z', 'version': 3}"
{'id': '1599'},{'id': '2737'},rec_cn5s40l0jhd1hc94ue50,11493,"{'createdAt': '2024-02-13T19:24:50.661139Z', 'updatedAt': '2024-04-08T18:03:38.327026Z', 'version': 3}"
{'id': '1595'},{'id': '3006'},rec_cn5s40nrusrcll7ljhqg,11494,"{'createdAt': '2024-02-13T19:24:50.265694Z', 'updatedAt': '2024-04-08T18:03:38.414624Z', 'version': 3}"
{'id': '1597'},{'id': '3152'},rec_cn5s40nrusrcll7ljhr0,11495,"{'createdAt': '2024-02-13T19:24:50.480051Z', 'updatedAt': '2024-04-08T18:03:38.503559Z', 'version': 3}"
{'id': '1601'},{'id': '3131'},rec_cn5s40nrusrcll7ljhrg,11496,"{'createdAt': '2024-02-13T19:24:50.84851Z', 'updatedAt': '2024-04-08T18:03:38.614772Z', 'version': 3}"
