AirToxicsCancerRiskNATACancerRisk,AirToxicsCancerRiskNationalAverage,AirToxicsCancerRiskPercentile,AirToxicsCancerRiskPercentile_OLD,CancerPrevalence,CancerPrevalenceNationalAverage,CancerPrevalencePercentile,City,CountyFIPSCode,CountyFIPSCode_text,CountyorParish,ECHOLink1,EPAFRSID1,EstimatedPopulationwithin3miles,FacilityDescription,GHGRPID1,GHGRPLink,Latitude,LinktoEJSCREENReport,Location,Longitude,PercentLow-IncomeNationalAverage,PercentLow-IncomePercentile,PercentLow-Incomewithin3miles,PercentPeopleofColorNationalAverage,PercentPeopleofColorPercentile,PercentPeopleofColorwithin3miles,PercentPeopleover64YearsOldwithin3miles,Percentover64YearsOldNationalAverage,Percentover64YearsOldPercentile,Percentunder5YearsOldNationalAverage,Percentunder5YearsOldPercentile,Percentunder5YearsOldwithin3miles,PlasticsInventory,PrimaryNAICSCode,Published,ResearchNotes,State,StateFacilityIDNumbers,StreetAddress,ZIPCode,created_by,facility_name,id,id_qaqc,modified_by,xata,PrimarySICCode,ECHOLink2,EPAFRSID2,FacilityFootprint,EPAFRSID3,GHGRPID2,PlasticsInventory_ToAdd
20.0,25.0,5.0,<50th,5.6,6.4,31.0,Gregory,48409.0,48409,San Patricio County,https://echo.epa.gov/detailed-facility-report?fid=110000599807,110000599807.0,7149.0,"Occidental Chemical Corporation owns and operates the Oxychem Ingleside Plant located in San Patricio County, Texas. The plant heats ethane gas and later compresses the heated product to produce ethylene, which is used to create many common plastics.

 <img src=""https://cdn.prod.website-files.com/62963b843bd3a03f930371e2/673fa96c2e0f386f1935cd03_OxyChem%20Ingleside%20%C2%A9Garth%20Lenz%20Corpus%20Christi%20Sept%2015-0461.jpg"" alt=""OxyChem Ingleside"" width=""600"" height=""400"" style=""float: left; margin-top: 35px; margin-right: 20px;"">",1001705.0,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2021?id=1001705&ds=E&et=&popup=true,27.883611,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry={%22x%22:-97.241383,%22y%22:27.883611,%22spatialReference%22:{%22wkid%22:4326}}&unit=9035&areatype=&areaid=&basemap=hybrid&distance=3",POINT(-97.241383 27.883611),-97.241383,30.0,59.0,32.0,40.0,67.0,52.0,9.0,18.0,23.0,5.0,59.0,6.0,True,325110,True,"PMF 11/21/24: Added photo.

LM 1/11/2022: incorrect county, changed from Gregory to San Patricio. see pg. 3 of 1/16/2014 final PSD permit.

https://www15.tceq.texas.gov/crpub/index.cfm?fuseaction=regent.showSingleRN&re_id=53383202001134",TX,RN100211176,Hwy 361 (2 mi west of Hwy 1069),78359,EIP Test Account,OxyChem Ingleside Plant,1000,1000,"Kira Burkhart, PMF","{'createdAt': '2021-05-20T19:13:45.411Z', 'updatedAt': '2024-12-04T17:46:47.838205Z', 'version': 519}",,,,,,,
20.0,25.0,5.0,<50th,7.0,6.4,62.0,Paint Lick,21079.0,21079,Garrard County,https://echo.epa.gov/detailed-facility-report?fid=110070222918,110070222918.0,958.0,"Located in Garrard County, Kentucky, the Paint Lick Compressor Station compresses natural gas received from pipelines for further pipeline transportation. Columbia Gulf Transmission owns and operates the Paint Lick Compressor Station.",1013608.0,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2021?id=1013608&ds=E&et=&popup=true,37.579603,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry={%22x%22:-84.459703,%22y%22:37.579603,%22spatialReference%22:{%22wkid%22:4326}}&unit=9035&areatype=&areaid=&basemap=hybrid&distance=3",POINT(-84.459703 37.579603),-84.459703,30.0,79.0,48.0,40.0,3.0,1.0,15.0,18.0,46.0,5.0,73.0,7.0,,,True,,KY,130403,KY-52,40461,EIP Test Account,Paint Lick Compressor Station,1001,1001,Kira Burkhart,"{'createdAt': '2021-05-20T19:13:45.411Z', 'updatedAt': '2024-12-04T17:46:47.981008Z', 'version': 370}",,,,,,,
27.0,25.0,5.0,<50th,7.6,6.4,76.0,Wellsville,39029.0,39029,Columbiana County,,,4648.0,"Pallas Nitrogen, LLC’s proposed Pallas Nitrogen Plant would be located along the Ohio River in Columbiana County, Ohio. The plant would use natural gas to produce up to 643,860 tons of ammonia per year and a variety of other nitrogen-based fertilizers. The plant would consume an estimated 58 million cubic feet of natural gas per day (about 23 billion cubic feet per year). Because Pallas Nitrogen did not commence construction on the facility by the deadline in its air quality permit or request an extension, the Ohio Environmental Protection Agency confirmed in 2021 that the original air quality permit was invalid in response to a letter from the Environmental Integrity Project.",,,40.589797,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry={%22x%22:-80.67803,%22y%22:40.589797,%22spatialReference%22:{%22wkid%22:4326}}&unit=9035&areatype=&areaid=&basemap=hybrid&distance=3",POINT(-80.67803 40.589797),-80.67803,30.0,71.0,41.0,40.0,20.0,9.0,19.0,18.0,61.0,5.0,38.0,4.0,,,True,,OH,02-15-13-2002,Sixteen School Rd,43958,EIP Test Account,Pallas Nitrogen Plant,1002,1002,Kira Burkhart,"{'createdAt': '2021-05-20T19:13:45.411Z', 'updatedAt': '2024-12-04T17:46:48.123534Z', 'version': 369}",,,,,,,
30.0,25.0,52.0,50-60th,7.2,6.4,65.0,Glen Easton,54051.0,54051,Marshall County,https://echo.epa.gov/detailed-facility-report?fid=110070520603,110070520603.0,255.0,"The Payne Compressor Station is located in Marshall County, West Virginia. The facility is owned and operated by XCL Midstream Operating LLC. The compressor station serves to both compress and dehydrate natural gas from local production wells prior to pipeline transmission.",,,39.81179,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry={%22x%22:-80.69913,%22y%22:39.81179,%22spatialReference%22:{%22wkid%22:4326}}&unit=9035&areatype=&areaid=&basemap=hybrid&distance=3",POINT(-80.69913 39.81179),-80.69913,30.0,78.0,47.0,40.0,8.0,3.0,44.0,18.0,96.0,5.0,18.0,1.0,,,True,,WV,051-00264,704 Blake Ridge Road,26039,EIP Test Account,Payne Compressor Station,1004,1004,Kira Burkhart,"{'createdAt': '2021-05-20T19:13:45.411Z', 'updatedAt': '2024-12-04T17:46:48.286348Z', 'version': 369}",,,,,,,
20.0,25.0,5.0,<50th,7.1,6.4,62.0,Pendleton,36063.0,36063,Niagara County,https://echo.epa.gov/detailed-facility-report?fid=110070262693,110070262693.0,19252.0,"The Pendleton Compressor Station is a proposed compressor station located in Niagara County, New York. This compressor station would be owned and operated by Empire Pipeline Inc. and is being proposed as part of National Fuel Gas Corporation's (NFG) Northern Access 2016 Project. In June 2022, NFG was granted an extension of time until December 31, 2024 to construct and place the project into service.",,,43.08343,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry={%22x%22:-78.802651,%22y%22:43.08343,%22spatialReference%22:{%22wkid%22:4326}}&unit=9035&areatype=&areaid=&basemap=hybrid&distance=3",POINT(-78.802651 43.08343),-78.802651,30.0,36.0,19.0,40.0,30.0,16.0,21.0,18.0,67.0,5.0,71.0,7.0,,,True,LM 10/12/21: Facility location from project map,NY,9293200111,Killian Road,14120,EIP Test Account,Pendleton Compressor Station,1005,1005,Kira Burkhart,"{'createdAt': '2021-05-20T19:13:45.411Z', 'updatedAt': '2024-12-04T17:46:48.410872Z', 'version': 369}",4922,,,,,,
30.0,25.0,52.0,50-60th,8.9,6.4,93.0,Monaca,42007.0,42007,Beaver County,https://echo.epa.gov/detailed-facility-report?fid=110060029115,110060029115.0,21675.0,"The Shell Polymers Monaca Site (formerly known as the Shell Chemical Appalachia Petrochemicals Complex) is a new petrochemical and plastics plant located north-west of Pittsburgh, Pennsylvania on the Ohio River. The plant has the capacity to produce 1.6 million metric tons of polyethylene pellets per year. Shell began constructing the complex in November 2017 and it began operating in Novemeber 2022. It includes an ethane cracker, which will convert ethane from the Marcellus and Utica shale formations into ethylene, a petrochemical used to make polyethylene plastic and other types of chemicals. The plant also has three polyethylene units, an on-site natural gas power plant, a rail system, loading facilities, and a wastewater treatment plant. The plant's ethane supply comes from Shell's new 97-mile Falcon Ethane Pipeline, which connects to several new and expanding natural gas liquids fractionation plants in the region. The pipeline began construction in 2019 and was commissioned in October 2021. For additional information about the environmental approvals requested by or issued to this plant, visit the Pennsylvania Department of Environmental Protection's <a href=""https://www.dep.pa.gov/About/Regional/SouthwestRegion/Community%20Information/Pages/Shell-Petrochemical-Complex-.aspx"">website</a>. Click <a href=""https://environmentalintegrity.shinyapps.io/fencelinemonitoring/?_inputs_&navbar=%22periods%22&dropdown1=%22%22&facility_input=%22Shell%20Monaca%20Polymers%20Plant%22&date_input=%22%22"" target=""_blank"">here</a> to view fenceline monitoring results from this facility. Additional information is available on the company’s <a href=""https://www.shell.us/about-us/projects-and-locations/shell-polymers/fenceline-monitoring-flm-program/passive-air-monitoring-system-data.html"" target=""_blank"">website</a>. ",1013733.0,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2021?id=1013733&ds=E&et=&popup=true,40.667899,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry={%22x%22:-80.336211,%22y%22:40.667899,%22spatialReference%22:{%22wkid%22:4326}}&unit=9035&areatype=&areaid=&basemap=hybrid&distance=3",POINT(-80.336211 40.667899),-80.336211,30.0,31.0,16.0,40.0,14.0,6.0,24.0,18.0,76.0,5.0,48.0,5.0,True,,True,"CM 1/29/24: deleted On Nov. 27, 2023, Shell Chemical Appalachia applied to continue operation of temporary equipment installed at the wastewater treatment plant at its petrochemical complex in Beaver County, Pennsylvania. The equipment was initially authorized in June 2023 under a temporary authorization.

(formerly Shell Chemical Appalachia Petrochemicals Complex)

https://www.ahs.dep.pa.gov/eFACTSWeb/searchResults_singleSite.aspx?SiteID=102360

https://www.shell.com/about-us/major-projects/pennsylvania-petrochemicals-complex.html
Falcon pipeline: https://www.shell.us/business-customers/shell-pipeline/falcon.html

address from pg. 7 of air quality plan approval application

AS 11/21/22: removed from latest news:
The Eyes on Shell watchdog group will host a community meeting on October 4, 2022 to discuss the plant's opening and to inform residents about ways that they can [document and report the impacts](https://api.oilandgaswatch.org/d/2b/64/2b64a395aac3467daf941061cb64eeb2.1664298821.pdf) of Shell’s plastic plant on air, water, light and noise levels. To learn more and register for the meeting, [click here](https://www.marcellusawareness.org/eyesonshell).",PA,775836,300 Frankfort Rd,15061,EIP Test Account,Shell Polymers Monaca Site,1006,1006,CM,"{'createdAt': '2021-05-20T19:13:45.411Z', 'updatedAt': '2024-12-04T17:46:48.53812Z', 'version': 374}",,,,,,,
30.0,25.0,52.0,50-60th,6.5,6.4,50.0,Alvin,48039.0,48039,Brazoria County,,,262.0,"The PetroLogistics PDH Plant is a proposed propane dehydrogenation facility in Brazoria County, Texas, which would be capable of producing up to 500,000 tons of propylene per year.",,,29.276442,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry={%22x%22:-95.195144,%22y%22:29.276442,%22spatialReference%22:{%22wkid%22:4326}}&unit=9035&areatype=&areaid=&basemap=hybrid&distance=3",POINT(-95.195144 29.276442),-95.195144,30.0,45.0,24.0,40.0,59.0,41.0,10.0,18.0,26.0,5.0,84.0,9.0,True,325110,True,"https://www15.tceq.texas.gov/crpub/index.cfm?fuseaction=regent.showSingleRN&re_id=635376572020013

https://petrologistics.com/projects/500-kta-gulf-coast-pdh-project-using-dow-fcdh-technology/",TX,RN110931706,FM 2917 (7 mi from State Hwy 35),77511,EIP Test Account,PetroLogistics PDH Plant,1007,1007,Kira Burkhart,"{'createdAt': '2021-05-20T19:13:45.411Z', 'updatedAt': '2024-12-04T15:20:17.531183Z', 'version': 253}",2869,,,,,,
20.0,25.0,5.0,<50th,5.6,6.4,31.0,Rosemount,27037.0,27037,Dakota County,https://echo.epa.gov/detailed-facility-report?fid=110000424611,110000424611.0,4038.0,"The Pine Bend Refinery is an existing oil refinery in Rosemount, Minnesota, located about 25 miles south of the Twin Cities. It was originally constructed in 1955 and is now owned and operated by Flint Hills Resources, a subsidiary of Koch Industries. The Pine Bend Refinery can process up to 375,000 barrels (15.75 million gallons) of refined products every year, including transportation fuels, propane, asphalt, and heating fuels. It also manufactures chemicals used to make plastics, fertilizers, and other synthetic materials. Click <a href=""https://environmentalintegrity.shinyapps.io/fencelinemonitoring/?_inputs_&navbar=%22periods%22&dropdown1=%22%22&facility_input=%22Pine%20Bend%20Refinery%22&date_input=%22%22"" target=""_blank"">here</a> to view fenceline monitoring results from this facility. ",1006985.0,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2021?id=1006985&ds=E&et=&popup=true,44.765551,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry={%22x%22:-93.040959,%22y%22:44.765551,%22spatialReference%22:{%22wkid%22:4326}}&unit=9035&areatype=&areaid=&basemap=hybrid&distance=3",POINT(-93.040959 44.765551),-93.040959,30.0,5.0,3.0,40.0,26.0,13.0,9.0,18.0,20.0,5.0,65.0,6.0,,324110,True,,MN,13700011,13775 Clark Rd,55068,EIP Test Account,Pine Bend Refinery,1008,1008,Kira Burkhart,"{'createdAt': '2021-05-20T19:13:45.411Z', 'updatedAt': '2024-12-04T17:46:48.917882Z', 'version': 369}",2911,,,,,,
30.0,25.0,52.0,50-60th,5.9,6.4,38.0,Wheeling,54069.0,54069,Ohio County,https://echo.epa.gov/detailed-facility-report?fid=110070262683,110070262683.0,3687.0,"The Pioneer Compressor Station is located in Ohio County, West Virginia, and is owned and operated by Appalachia Midstream Services LLC. The facility receives natural gas from local production wells and compresses it for pipeline transportation.",,,40.14333,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry={%22x%22:-80.59156,%22y%22:40.14333,%22spatialReference%22:{%22wkid%22:4326}}&unit=9035&areatype=&areaid=&basemap=hybrid&distance=3",POINT(-80.59156 40.14333),-80.59156,30.0,58.0,32.0,40.0,16.0,7.0,16.0,18.0,49.0,5.0,32.0,3.0,,,True,,WV,069-00143,Harvey's Rd,26003,EIP Test Account,Pioneer Compressor Station,1009,1009,Kira Burkhart,"{'createdAt': '2021-05-20T19:13:45.411Z', 'updatedAt': '2024-12-04T17:46:49.125666Z', 'version': 352}",,,,,,,
66.0,25.0,94.0,90-95th,6.7,6.4,53.0,Plaquemine,22047.0,22047,Iberville Parish,https://echo.epa.gov/detailed-facility-report?fid=110069533071,110069533071.0,5003.0,"Enlink Processing Services owns and operates the Plaquemine NGL Fractionation Plant located in Iberville County, Louisiana. The plant fractionates (a form of separating) inlet natural gas liquids into constituents product streams for sale. The facility has a throughput capacity of around 51.1 million barrels of natural gas liquids per year.",1011705.0,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2021?id=1011705&ds=E&et=&popup=true,30.234815,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry={%22x%22:-91.240171,%22y%22:30.234815,%22spatialReference%22:{%22wkid%22:4326}}&unit=9035&areatype=&areaid=&basemap=hybrid&distance=3",POINT(-91.240171 30.234815),-91.240171,30.0,77.0,46.0,40.0,71.0,59.0,17.0,18.0,55.0,5.0,40.0,4.0,,,True,From V3 permit: This facility is contiguous and under common control with the Plaquemine Gas Plant (AI # 19184). Current TV permit = 1280-00049-V7 (issued 3/19/2020): https://edms.deq.louisiana.gov/app/doc/view?doc=12122164,LA,184873,60985 Derrick Rd,70764,EIP Test Account,Plaquemine NGL Fractionation Plant,1010,1010,Keene Kelderman,"{'createdAt': '2021-05-20T19:13:45.411Z', 'updatedAt': '2024-12-04T17:46:49.26649Z', 'version': 352}",,,,,,,
