Facility,Project,id,id_qaqc,xata
{'id': '1001'},{'id': '3008'},rec_cn5ruml0jhd1hc94u8q0,10296,"{'createdAt': '2024-02-13T19:13:30.555196Z', 'updatedAt': '2024-04-08T18:01:08.560465Z', 'version': 3}"
{'id': '1000'},{'id': '3007'},rec_cn5rumnrusrcll7livmg,10297,"{'createdAt': '2024-02-13T19:13:30.287755Z', 'updatedAt': '2024-04-08T18:01:08.658793Z', 'version': 3}"
{'id': '1002'},{'id': '3009'},rec_cn5rumnrusrcll7livn0,10298,"{'createdAt': '2024-02-13T19:13:30.766339Z', 'updatedAt': '2024-04-08T18:01:08.818406Z', 'version': 3}"
{'id': '1005'},{'id': '3012'},rec_cn5rumt0jhd1hc94u8qg,10299,"{'createdAt': '2024-02-13T19:13:31.194114Z', 'updatedAt': '2024-04-08T18:01:08.943714Z', 'version': 3}"
{'id': '1008'},{'id': '3017'},rec_cn5rumt0jhd1hc94u8r0,10300,"{'createdAt': '2024-02-13T19:13:31.728011Z', 'updatedAt': '2024-04-08T18:01:09.06002Z', 'version': 3}"
{'id': '1004'},{'id': '3011'},rec_cn5rumvrusrcll7livng,10301,"{'createdAt': '2024-02-13T19:13:31.007113Z', 'updatedAt': '2024-04-08T18:01:09.206237Z', 'version': 3}"
{'id': '1006'},{'id': '3014'},rec_cn5rumvrusrcll7livo0,10302,"{'createdAt': '2024-02-13T19:13:31.368414Z', 'updatedAt': '2024-04-08T18:01:09.34556Z', 'version': 3}"
{'id': '1007'},{'id': '3016'},rec_cn5rumvrusrcll7livog,10303,"{'createdAt': '2024-02-13T19:13:31.533517Z', 'updatedAt': '2024-04-08T18:01:09.483421Z', 'version': 3}"
{'id': '1008'},{'id': '3018'},rec_cn5rumvrusrcll7livp0,10304,"{'createdAt': '2024-02-13T19:13:31.921345Z', 'updatedAt': '2024-04-08T18:01:09.645106Z', 'version': 3}"
{'id': '1008'},{'id': '3020'},rec_cn5run50jhd1hc94u8rg,10305,"{'createdAt': '2024-02-13T19:13:32.357371Z', 'updatedAt': '2024-04-08T18:01:09.794316Z', 'version': 3}"
{'id': '1009'},{'id': '3021'},rec_cn5run50jhd1hc94u8s0,10306,"{'createdAt': '2024-02-13T19:13:32.892454Z', 'updatedAt': '2024-04-08T18:01:09.951315Z', 'version': 3}"
{'id': '1008'},{'id': '3019'},rec_cn5run7rusrcll7livpg,10307,"{'createdAt': '2024-02-13T19:13:32.160564Z', 'updatedAt': '2024-04-08T18:01:10.083432Z', 'version': 3}"
{'id': '1008'},{'id': '4156'},rec_cn5run7rusrcll7livq0,10308,"{'createdAt': '2024-02-13T19:13:32.526503Z', 'updatedAt': '2024-04-08T18:01:10.201012Z', 'version': 3}"
{'id': '1008'},{'id': '4161'},rec_cn5run7rusrcll7livqg,10309,"{'createdAt': '2024-02-13T19:13:32.713807Z', 'updatedAt': '2024-04-08T18:01:10.336558Z', 'version': 3}"
{'id': '1012'},{'id': '3024'},rec_cn5rund0jhd1hc94u8sg,10310,"{'createdAt': '2024-02-13T19:13:33.39963Z', 'updatedAt': '2024-04-08T18:01:10.442953Z', 'version': 3}"
{'id': '1010'},{'id': '3022'},rec_cn5runfrusrcll7livr0,10311,"{'createdAt': '2024-02-13T19:13:33.067867Z', 'updatedAt': '2024-04-08T18:01:10.55333Z', 'version': 3}"
{'id': '1011'},{'id': '3023'},rec_cn5runfrusrcll7livrg,10312,"{'createdAt': '2024-02-13T19:13:33.231926Z', 'updatedAt': '2024-04-08T18:01:10.673857Z', 'version': 3}"
{'id': 'rec_cneevkop1j51paj7u2h0'},{'id': '6861'},rec_cn5runfrusrcll7livs0,10313,"{'createdAt': '2024-02-13T19:13:33.580147Z', 'updatedAt': '2024-04-08T18:01:10.804Z', 'version': 4}"
{'id': '1013'},{'id': '3026'},rec_cn5runfrusrcll7livsg,10314,"{'createdAt': '2024-02-13T19:13:33.747016Z', 'updatedAt': '2024-04-08T18:01:10.936188Z', 'version': 3}"
{'id': '1015'},{'id': '3029'},rec_cn5runl0jhd1hc94u8tg,10315,"{'createdAt': '2024-02-13T19:13:34.441202Z', 'updatedAt': '2024-04-08T18:01:11.048215Z', 'version': 3}"
{'id': '1014'},{'id': '3027'},rec_cn5runnrusrcll7livt0,10316,"{'createdAt': '2024-02-13T19:13:34.092994Z', 'updatedAt': '2024-04-08T18:01:11.164566Z', 'version': 3}"
{'id': '1015'},{'id': '3028'},rec_cn5runnrusrcll7livtg,10317,"{'createdAt': '2024-02-13T19:13:34.264733Z', 'updatedAt': '2024-04-08T18:01:11.291857Z', 'version': 3}"
{'id': '1015'},{'id': '3030'},rec_cn5runnrusrcll7livu0,10318,"{'createdAt': '2024-02-13T19:13:34.865105Z', 'updatedAt': '2024-04-08T18:01:11.436134Z', 'version': 3}"
{'id': '1015'},{'id': '3573'},rec_cn5runt0jhd1hc94u8u0,10319,"{'createdAt': '2024-02-13T19:13:35.23852Z', 'updatedAt': '2024-04-08T18:01:11.604524Z', 'version': 3}"
{'id': '1017'},{'id': '2728'},rec_cn5runt0jhd1hc94u8ug,10320,"{'createdAt': '2024-02-13T19:13:35.831677Z', 'updatedAt': '2024-04-08T18:01:11.753174Z', 'version': 3}"
{'id': '1015'},{'id': '5203'},rec_cn5runvrusrcll7livug,10321,"{'createdAt': '2024-02-13T19:13:35.064537Z', 'updatedAt': '2024-04-08T18:01:11.900647Z', 'version': 3}"
{'id': '1015'},{'id': '7069'},rec_cn5runvrusrcll7livv0,10322,"{'createdAt': '2024-02-13T19:13:35.446462Z', 'updatedAt': '2024-04-08T18:01:12.009981Z', 'version': 3}"
{'id': '1016'},{'id': '3031'},rec_cn5runvrusrcll7livvg,10323,"{'createdAt': '2024-02-13T19:13:35.655429Z', 'updatedAt': '2024-04-08T18:01:12.158185Z', 'version': 3}"
{'id': '1020'},{'id': '3035'},rec_cn5ruo50jhd1hc94u8vg,10324,"{'createdAt': '2024-02-13T19:13:36.910757Z', 'updatedAt': '2024-04-08T18:01:12.270963Z', 'version': 3}"
{'id': '1018'},{'id': '3032'},rec_cn5ruo7rusrcll7lj000,10325,"{'createdAt': '2024-02-13T19:13:36.024658Z', 'updatedAt': '2024-04-08T18:01:12.388057Z', 'version': 3}"
{'id': '1019'},{'id': '5321'},rec_cn5ruo7rusrcll7lj010,10326,"{'createdAt': '2024-02-13T19:13:36.571638Z', 'updatedAt': '2024-04-08T18:01:12.527655Z', 'version': 3}"
{'id': '1021'},{'id': '3037'},rec_cn5ruod0jhd1hc94u900,10328,"{'createdAt': '2024-02-13T19:13:37.432417Z', 'updatedAt': '2024-04-08T18:01:12.77909Z', 'version': 3}"
{'id': 'rec_cnj0jss6i0t6rb74rld0'},{'id': '4979'},rec_cn5ruod0jhd1hc94u90g,10329,"{'createdAt': '2024-02-13T19:13:37.963733Z', 'updatedAt': '2024-04-08T18:01:12.948942Z', 'version': 4}"
{'id': '1020'},{'id': '3036'},rec_cn5ruofrusrcll7lj020,10330,"{'createdAt': '2024-02-13T19:13:37.081156Z', 'updatedAt': '2024-04-08T18:01:13.090821Z', 'version': 3}"
{'id': '1020'},{'id': '7377'},rec_cn5ruofrusrcll7lj02g,10331,"{'createdAt': '2024-02-13T19:13:37.252446Z', 'updatedAt': '2024-04-08T18:01:13.229147Z', 'version': 3}"
{'id': '1021'},{'id': '4148'},rec_cn5ruofrusrcll7lj030,10332,"{'createdAt': '2024-02-13T19:13:37.606691Z', 'updatedAt': '2024-04-08T18:01:13.38761Z', 'version': 3}"
{'id': '1022'},{'id': '3038'},rec_cn5ruofrusrcll7lj03g,10333,"{'createdAt': '2024-02-13T19:13:37.779235Z', 'updatedAt': '2024-04-08T18:01:13.516094Z', 'version': 3}"
{'id': '1025'},{'id': '3039'},rec_cn5ruol0jhd1hc94u910,10334,"{'createdAt': '2024-02-13T19:13:38.476747Z', 'updatedAt': '2024-04-08T18:01:13.630885Z', 'version': 3}"
{'id': '1023'},{'id': '2865'},rec_cn5ruonrusrcll7lj040,10335,"{'createdAt': '2024-02-13T19:13:38.137373Z', 'updatedAt': '2024-04-08T18:01:13.763537Z', 'version': 3}"
{'id': '1024'},{'id': '3135'},rec_cn5ruonrusrcll7lj04g,10336,"{'createdAt': '2024-02-13T19:13:38.305476Z', 'updatedAt': '2024-04-08T18:01:13.898959Z', 'version': 3}"
{'id': '1026'},{'id': '3040'},rec_cn5ruonrusrcll7lj050,10337,"{'createdAt': '2024-02-13T19:13:38.664573Z', 'updatedAt': '2024-04-08T18:01:14.051661Z', 'version': 3}"
{'id': '1027'},{'id': '3041'},rec_cn5ruonrusrcll7lj05g,10338,"{'createdAt': '2024-02-13T19:13:38.947836Z', 'updatedAt': '2024-04-08T18:01:14.177725Z', 'version': 3}"
{'id': '1028'},{'id': '3043'},rec_cn5ruot0jhd1hc94u91g,10339,"{'createdAt': '2024-02-13T19:13:39.118041Z', 'updatedAt': '2024-04-08T18:01:14.291476Z', 'version': 3}"
