state,permitting_type,description,link
Alabama,Local,"According to the Wind Energy Technology Office, there is no statutory authority for statewide wind energy siting and local laws control the siting process. The legislature has granted Baldwin, Cherokee, Dekalb, and Etowah counties explicit authority to regulate wind siting.",https://casetext.com/statute/code-of-alabama/title-45-local-laws/chapter-2-baldwin-county/article-26-zoning-and-planning/part-3/section-45-2-262-regulation-of-wind-generated-energy-production-facilities-or-equipment-in-unincorporated-areas
Alaska,Hybrid,A Certificate of Convenience and Necessity issued by the Regulatory Commission of Alaska is required to operate as a utility in the state. Municipal ordinances may also apply.,https://casetext.com/statute/alaska-statutes/title-42-public-utilities-and-carriers-and-energy-programs/chapter-4205-alaska-public-utilities-regulatory-act/article-02-certificate-of-public-convenience-and-necessity
Arizona,Hybrid,Utilities planning to construct an energy facility of 100 MW or more must obtain a Certificate of Environmental Compatibility from the Arizona Power Plant and Transmission Line Siting Committee prior to construction. Certain wind facilities must obtain siting and zoning approvals at the municipal or county level.,https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/40/00360-03.htm
Arkansas,Local,New construction of larger facilities providing a public service require a Certificate of Public Convenience and Necessity from the Arkansas Public Service Commission. Local law controls construction of smaller facilities.,https://casetext.com/statute/arkansas-code-of-1987/title-23-public-utilities-and-regulated-industries/subtitle-1-public-utilities-and-carriers/chapter-3-regulation-of-utilities-and-carriers-generally/subchapter-2-certificates-of-convenience-and-necessity/section-23-3-201-requirement-for-new-construction-or-extension
California,Local,"Land use decisions, including wind siting, are determined by local governments. Note that the California Environmental Quality Act requires local governments to analyze environmental impacts associated with wind generation projects.",https://casetext.com/statute/california-codes/california-government-code/title-7-planning-and-land-use/division-1-planning-and-zoning/chapter-4-zoning-regulations/article-2-adoption-of-regulations/section-65850
Colorado,Hybrid,"In Colorado, local and state authorities are involved in wind siting decisions. In particular, local authorities have 120 days to issue a final decision on a siting application. The Public Utilities Commission must also issue a certificate before the construction of new facilities. The commission process requires that relevant local permits be obtained prior to issuing a certificate. If local governments deny a permit for a wind facility, applicants have the option to appeal to the commission.",https://casetext.com/statute/colorado-revised-statutes/title-30-government-county/county-planning-and-building-codes/article-28-county-planning-and-building-codes/part-1-county-planning/section-30-28-106-effective-tbd-adoption-of-master-plan-contents
Connecticut,State,"The Connecticut Siting Council has established setback requirements through statewide siting regulations. Project developers seeking to construct and operate a wind turbine 65 MW or greater are required to apply for a Certificate of Environmental Compatibility and Public Need with the Council. The regulations require several project evaluations and assessments including those related to visual impacts, noise, shadow flicker, and natural resources impacts, among others. They also establish setback requirements based on turbine height or the manufacturer’s recommended setback distances, whichever is greater.",https://www.cga.ct.gov/current/pub/chap_277a.htm#sec_16-50j
Delaware,Local,"State law delegates siting authority to local governments. There are statutory requirements that local governments must follow when making siting decisions, including that their regulations may not prohibit landowners from using wind systems on residential properties or establish setback requirements more restrictive than 1.0 times the turbine height.",http://delcode.delaware.gov/title29/c080/sc02/index.shtml
Florida,Hybrid,"Local governments have authority over most wind siting decisions, but the Siting Coordination Office has primary authority over siting power generating facilities with capacity of 75 MW or more. Certification through the Siting Coordination Office replaces all local permits.",http://www.leg.state.fl.us/Statutes/index.cfm?App_mode=Display_Statute&URL=0400-0499/0403/0403PartIIContentsIndex.html&StatuteYear=2015&Title=-%3E2015-%3EChapter%20403-%3EPart%20II
Georgia,Local,Georgia has no specific siting authority for wind generation. Local governments have primary authority over most types of siting.,https://casetext.com/statute/code-of-georgia/title-36-local-government/provisions-applicable-to-counties-and-municipal-corporations/chapter-66-zoning-procedures
Hawaii,Local,"In Hawaii, local zoning laws govern the siting of wind facilities. Construction of wind siting facilities may also trigger environmental review requirements under the state’s environmental impact state law.","https://www.capitol.hawaii.gov/hrscurrent/Vol02_Ch0046-0115/HRS0046/HRS_0046-0004.htm#:~:text=%C2%A746%2D4%20County%20zoning.&text=Nothing%20in%20this%20section%20shall,prior%20to%20July%201%2C%201957."
Idaho,Local,"Idaho has no specific wind siting authority at the state level. Local governments, through city councils or county commissions, have siting authority.",https://casetext.com/statute/idaho-code/title-67-state-government-and-state-affairs/chapter-65-local-land-use-planning
