ApplicationDate,Description,Documents,Documents_OLD,FinalPermitIssuanceDate,PermitStatus,Published,created_by,id,id_qaqc,modified_by,nsr_per_id,xata,ResearchNotes,DateLastChecked,DeadlinetoBeginConstruction,DraftPermitIssuanceDate,LastDaytoComment,Facility-widePTECO,Facility-widePTECO2e,Facility-widePTEHAPs,Facility-widePTENOx,Facility-widePTEPM25,Facility-widePTESO2,Facility-widePTEVOCs
2017-09-11T00:00:00Z,Initial construction permit for the 3 Bear Libby Gas Plant.,"[{'id': 'kr93t33jd13e1ad88l86li54i8', 'name': '2017.9.11_3 Bear Libby Gas Plant_Revised Permit Application 7482.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 9100550, 'version': 3, 'url': 'https://us-east-1.storage.xata.sh/q3c7j1jdgp09h9u0khk8e0i67k'}, {'id': 'e8sdgguhh94vl0he5h4f58ijhc', 'name': '2018.1.8_3 Bear Libby Gas Plant_Final Permit No. 7482.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 795927, 'version': 3, 'url': 'https://us-east-1.storage.xata.sh/o3oikfoa7t5gf1hunnoaqmskn8'}, {'id': 'taivtt9lid4rb3pp2s3t28t29c', 'name': '2018.1.8_3 Bear Libby Gas Plant_Permit no. 7482 Statement of Basis.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 154721, 'version': 3, 'url': 'https://us-east-1.storage.xata.sh/v6u63odv254vb4ce7g5olednm8'}]","{'name': None, 'file_name': '2017.9.11_3 Bear Libby Gas Plant_Revised Permit Application 7482.pdf', 'url': 'https://api.oilandgaswatch.org/d/e6/05/e6050e0450b44c6d97487d062fcdaf00.1635394404.pdf'}, {'name': None, 'file_name': '2018.1.8_3 Bear Libby Gas Plant_Final Permit No. 7482.pdf', 'url': 'https://api.oilandgaswatch.org/d/a3/41/a3418ab9e01d4dcdbd1df532445c59dd.1635394417.pdf'}, {'name': None, 'file_name': '2018.1.8_3 Bear Libby Gas Plant_Permit no. 7482 Statement of Basis.pdf', 'url': 'https://api.oilandgaswatch.org/d/1a/05/1a05b3da813d4713b604743eb04d95ee.1635394423.pdf'}",2018-01-08T00:00:00Z,Final Issued,True,EIP Test Account,1573,1573,Vincent Bregman,7482,"{'createdAt': '2021-05-20T19:18:48.607Z', 'updatedAt': '2024-09-26T15:54:07.200393Z', 'version': 12}",,,,,,,,,,,,
2019-09-11T00:00:00Z,"Permit modification to add a generator, corrected tank battery configuration, remove a methanol tank, and add loadout, updated fugitive emissions, and updated flaring volumes.","[{'id': 'g9mitj7p415fd1m7j61qvbrf98', 'name': '2019.9.11_3 Bear Libby Gas Plant_Original Application_Permit No. 7482M1.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 11962348, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/4a9ireb5jh3lpa0pis9goe9k64'}, {'id': 'efg50ehvtp6pn4okevjn6gacs8', 'name': '2020.4.8_3 Bear Libby Gas Plant_Final Permit No. 7482M1.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 562514, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/3fs1umns990uhakb7f3ua5cl8c'}]","{'name': None, 'file_name': '2019.9.11_3 Bear Libby Gas Plant_Original Application_Permit No. 7482M1.pdf', 'url': 'https://api.oilandgaswatch.org/d/06/cf/06cf487871934721a6c2ff4bcb040cf5.1635394263.pdf'}, {'name': None, 'file_name': '2020.4.8_3 Bear Libby Gas Plant_Final Permit No. 7482M1.pdf', 'url': 'https://api.oilandgaswatch.org/d/98/0e/980eb3f5e76e496e8e2fb803cfe01eb7.1635394227.pdf'}",2020-04-08T00:00:00Z,Final Issued,True,EIP Test Account,1574,1574,Vincent Bregman,7482M1,"{'createdAt': '2021-05-20T19:18:48.607Z', 'updatedAt': '2024-04-08T17:50:10.949919Z', 'version': 9}",,,,,,,,,,,,
2020-03-09T00:00:00Z,Permit authorizing initial construction of the Port Allen Air Separation Unit.,"[{'id': 've6fr80fdp0gvcrqbpfp9stvog', 'name': '2020.3.9_Air Liquide Port Allen ASU_Permit Application.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 17527292, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/oahapmgmd11h97nqtnsahn49uo'}, {'id': 'g28kmbddg51onacck0tdmhbtr8', 'name': '2020.5.21_Air Liquide Port Allen ASU_Final Permit No. 3120-00129-00.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 4911501, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/f9amsbsohl27j7vf7t3lokd73g'}]","{'name': None, 'file_name': '2020.3.9_Air Liquide Port Allen ASU_Permit Application.pdf', 'url': 'https://api.oilandgaswatch.org/d/2e/62/2e62173f3edd4b929c5e9f949fb02bd0.1641570680.pdf'}, {'name': None, 'file_name': '2020.5.21_Air Liquide Port Allen ASU_Final Permit No. 3120-00129-00.pdf', 'url': 'https://api.oilandgaswatch.org/d/e0/5c/e05cdeaebc26408c829d527d9f7011bd.1641570660.pdf'}",2020-05-21T00:00:00Z,Final Issued,True,EIP Test Account,1575,1575,Alexandra Shaykevich,3120-00129-00,"{'createdAt': '2021-05-20T19:18:48.607Z', 'updatedAt': '2024-04-08T17:50:11.047929Z', 'version': 9}","3120-00129-00 (issued 5/21/2020) -- Construction is expected to begin July 2020, operation expected May 2021 (permit app cover letter). Criteria emissions taken from final permit, pg. 4. -- ",,,,,,,,,,,
2020-07-10T00:00:00Z,"Permit authorizing initial construction of Steam Methane Reformer Plant, SMR Furnace ID Fan Replacement Project.","[{'id': 'f6u1oghlg94en3ethhooln94ck', 'name': '2021.02.05_Air Liquide Bayport Cmplx - Steam Methane Furnace Fan_73110 Final Permit.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 64312, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/i2r2rjn6f55cf47ii2ejpj6j1k'}, {'id': 'gr7l0g9cu940vems4g5oca38f0', 'name': '2021.02.05_Air Liquide Bayport Cmplx - Steam Methane Furnace Fan_73110 Tech Review.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 114138, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/tf0hmufia131j3c1qg81rn99ds'}]","{'name': None, 'file_name': '2021.02.05_Air Liquide Bayport Cmplx - Steam Methane Furnace Fan_73110 Final Permit.pdf', 'url': 'https://api.oilandgaswatch.org/d/1d/00/1d00371e3a8c495bbf1b31cdc2fbae16.1638889124.pdf'}, {'name': None, 'file_name': '2021.02.05_Air Liquide Bayport Cmplx - Steam Methane Furnace Fan_73110 Tech Review.pdf', 'url': 'https://api.oilandgaswatch.org/d/f4/a4/f4a44d0a72a744c5b5bcf3a32c01feb9.1638889111.pdf'}",2021-02-05T00:00:00Z,Final Issued,True,EIP Test Account,1578,1578,Alexandra Shaykevich,73110,"{'createdAt': '2021-05-20T19:18:48.607Z', 'updatedAt': '2024-04-08T17:50:11.155741Z', 'version': 9}",73110 (issued 2/05/2021),,,,,,,,,,,
2017-12-28T00:00:00Z,"This permit authorized construction of a gas treatment plant connected to the Alaska Nikiski LNG pipeline project. The Alaska Department of Environmental Conservation has already issued two extensions - first on February 11, 2022 and again on July 14, 2023 - giving the company until February 13, 2025 to start building the Gas Treatment Plant.","[{'id': 'evg484fqsd2s55dejqfhj3uhm0', 'name': '2020.8.13_AK LNG_AQ1524CPT01 Final Permit.PDF', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 681655, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/ae0cvaa0e57br9btcel6vsf8do'}, {'id': '21jndgfagl5b75ondgob47sd84', 'name': '2020.8.13_AK LNG_AQ1524CPT01 Final TAR.PDF', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 1414953, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/bdllmqje1l63peco8e4bbrc5b0'}, {'id': 'vu92b17pqd0tb0rkrag6ltlkik', 'name': '2021.6.18_AK LNG Gas Treatment Plant_Extension Request.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 267580, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/3hje49r5453p7cn91mestm26bs'}, {'id': 'q3arl6qdo10k730glikgqsp3ac', 'name': '2022.2.11_AK LNG Gas Treatment Plant_First Extension Approval.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 243848, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/ilg0na2ct93gd6jfeolal784bo'}, {'id': 'l7rk8p7vjp0rpao5i8faig5150', 'name': '2023.5.23_AK LNG Gas Treatment Plant_Second Extension Request.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 138343, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/9uuuo8thfd4ol6p70d5tkrimuo'}, {'id': 'a45o0ck9b92jj30miq7ovfuluk', 'name': '2023.7.14_AK LNG Gas Treatment Plant_Second Extension Approval.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 278586, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/qd3q88pfq115973j6bl8f9os90'}]","{'name': None, 'file_name': '2020.8.13_AK LNG_AQ1524CPT01 Final Permit.PDF', 'url': 'https://api.oilandgaswatch.org/d/59/21/59218a2f9e684f4f9a835d55422e186c.1638217804.PDF'}, {'name': None, 'file_name': '2020.8.13_AK LNG_AQ1524CPT01 Final TAR.PDF', 'url': 'https://api.oilandgaswatch.org/d/3d/24/3d242c7813154335b5a8d39173e4132e.1641340966.pdf'}, {'name': '2021.6.18_AK LNG Gas Treatment Plant_First Extension Request.pdf', 'file_name': '2021.6.18_AK LNG Gas Treatment Plant_Extension Request.pdf', 'url': 'https://api.oilandgaswatch.org/d/59/d0/59d0890d771144f092b77a06c0c6317d.1646335574.pdf'}, {'name': None, 'file_name': '2023.7.14_AK LNG Gas Treatment Plant_Second Extension Approval.pdf', 'url': 'https://api.oilandgaswatch.org/d/04/d5/04d5b16920dc43fcacdf4735ec069d71.1697827700.pdf'}, {'name': None, 'file_name': '2022.2.11_AK LNG Gas Treatment Plant_First Extension Approval.pdf', 'url': 'https://api.oilandgaswatch.org/d/49/3e/493e7eb9e653466cbb2e1dfb4e91f7a9.1697827700.pdf'}, {'name': None, 'file_name': '2023.5.23_AK LNG Gas Treatment Plant_Second Extension Request.pdf', 'url': 'https://api.oilandgaswatch.org/d/cc/c1/ccc1704544124d9abe76e090e8fcdf80.1697827768.pdf'}",2020-08-13T00:00:00Z,Final Issued,True,EIP Test Account,1581,1581,Alexandra Shaykevich,AQ1524CPT01,"{'createdAt': '2021-05-20T19:18:48.607Z', 'updatedAt': '2024-04-08T17:50:11.254694Z', 'version': 13}","AQ1524CPT01 (issued 8/13/2020) - applied for an extension on 3/26/2021 and 6/18/2021 - issued 2/11/2022 -- cb 9/22/2021: no permit changes

AS 3/3/2022 - uploaded the extension, which was issued on 2/11/2022 (set to expire on Feb 13, 2022)

AS 10/20/23 - removed from permit description ""The Alaska Gasline Development Corporation applied for an extension on June 18, 2021 in order to ""secure the remainder of the funding needed for the project,"" which ""has been complicated and delayed by the pandemic, variable natural gas commodity prices, and limited availability of energy company capital funds."" The Alaska Department of Environmental Conservation agreed with the company, giving them until August 13, 2023 to start building the Alaska LNG Gas Treatment Plant."" -- ",2023-10-20T00:00:00Z,2025-02-13T00:00:00Z,,,,,,,,,
2018-05-01T00:00:00Z,"This permit authorized construction of the Alaska LNG Liquefaction Plant. The Alaska Department of Environmental Conservation issued an 18-moth extension on January 22, 2024, giving the company until July 7, 2025 to begin construction. However, Alaska Gasline Development Corporation may request an additional 18-month extension prior to July 7, 2025.
","[{'id': '0hu1ihd0v54erdomcacroncuik', 'name': '2020.09.11_Alaska LNG Liquefaction Plant_ AQ1539CPT01 Draft Permit.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 610717, 'version': 3, 'url': 'https://us-east-1.storage.xata.sh/ml3up52tut31j6mm4vsa5lg7g4'}, {'id': 'j2r3ra92bd32tfb99lismr2k54', 'name': '2020.09.11_Alaska LNG Liquefaction Plant_ AQ1539CPT01 Draft TAR.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 1080311, 'version': 3, 'url': 'https://us-east-1.storage.xata.sh/dniqasdom50c1c3rv3pe55h7n0'}, {'id': 'lnb4gm0pbd6hdc7bdddbvkct9g', 'name': 'AQ1539CPT01 Final Permit 07.07.22.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 968617, 'version': 3, 'url': 'https://us-east-1.storage.xata.sh/2f147cbs7d1ejb7l535ivhe25s'}, {'id': 'jlntkbdci15452c3t2ljtrglqs', 'name': 'AQ1539CPT01 Final TAR 07.07.22.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 1299982, 'version': 3, 'url': 'https://us-east-1.storage.xata.sh/91n87mf1d51k92jmo5vaiukamk'}, {'id': '3o3t2168np1jl76l6jdimsaq7s', 'name': 'AQ1539CPT01 Final Trans Ltr 07.07.22.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 263163, 'version': 3, 'url': 'https://us-east-1.storage.xata.sh/3a3rlluji50r3814h67aqi6pf8'}, {'id': 'brpeekovv55jh3tful72hui0g8', 'name': 'AQ1539CPT01 RTC 07.07.22.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 3555071, 'version': 3, 'url': 'https://us-east-1.storage.xata.sh/q1jv35nl913nb85ee1ot2db7dk'}, {'id': 'jjc2c5le112efdgique7n8t8tg', 'name': '2024.01.19 Alaska LNG Extension Request.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 600, 'uploadUrlTimeout': 86400, 'size': 212054, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/m70jvt0nfjo0q9310r51j4f8vekhc1ho'}, {'id': 'i8gt1jsa1l2qn3mnlerrbld4ag', 'name': '2024.01.22 Alaska LNG Extension Approval.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 600, 'uploadUrlTimeout': 86400, 'size': 247837, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/m70jvtriimbg7k1h14355lfimm0fjf9k'}]","{'name': None, 'file_name': '2020.09.11_Alaska LNG Liquefaction Plant_ AQ1539CPT01 Draft Permit.pdf', 'url': 'https://api.oilandgaswatch.org/d/9a/b1/9ab1a42ebe45406e82480d28ef72706f.1640547921.pdf'}, {'name': None, 'file_name': '2020.09.11_Alaska LNG Liquefaction Plant_ AQ1539CPT01 Draft TAR.pdf', 'url': 'https://api.oilandgaswatch.org/d/73/9b/739be12052c64c7f8d420c183748545d.1640547921.pdf'}, {'name': None, 'file_name': 'AQ1539CPT01 Final Permit 07.07.22.pdf', 'url': 'https://api.oilandgaswatch.org/d/6c/a8/6ca87839c1b94595a8c5572819fe6b10.1657848677.pdf'}, {'name': None, 'file_name': 'AQ1539CPT01 Final TAR 07.07.22.pdf', 'url': 'https://api.oilandgaswatch.org/d/e7/db/e7db396189ef4d80a342706d5bdbb36f.1657848677.pdf'}, {'name': None, 'file_name': 'AQ1539CPT01 RTC 07.07.22.pdf', 'url': 'https://api.oilandgaswatch.org/d/14/03/14034d8fb7a34f209854bb0896cb3c22.1657848678.pdf'}, {'name': None, 'file_name': 'AQ1539CPT01 Final Trans Ltr 07.07.22.pdf', 'url': 'https://api.oilandgaswatch.org/d/d3/21/d321f20b53e14d128acf0b488e0a999e.1657848677.pdf'}",2022-07-07T00:00:00Z,Final Issued,True,EIP Test Account,1591,1591,AS,AQ1539CPT01,"{'createdAt': '2021-05-20T19:18:48.607Z', 'updatedAt': '2024-10-10T16:51:03.389469Z', 'version': 15}","AQ1539CPT01 (final permit issued 7/7/2022) -- Public comment period ends 12/10/2020. Emissions updated with pre-TAR values from draft permit. CO2e and VOCs increased, all other criteria decreased. Lat/long coordinates updated w/ those listed in the draft construction permit.

Plant not on hold as of 5/11/2022 - https://dec.alaska.gov/air/air-permit/liquefaction-plant-application -- ",2024-10-10T16:49:17.579Z,2025-07-07T00:00:00Z,2020-09-11T00:00:00Z,2020-12-10T00:00:00Z,,,,,,,
,Permit authorizing the modification to an existing compressor station to support the Atlantic Bridge Project.,"[{'id': 'ievachpde53dd6ohjbs1v4lim0', 'name': '2018.4.26_Stony Point Compressor Station_Title V Permit.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 92457, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/ol1i53tm8d7f78th11d86vfb9k'}]","{'name': None, 'file_name': '2018.4.26_Stony Point Compressor Station_Title V Permit.pdf', 'url': 'https://api.oilandgaswatch.org/d/88/c7/88c79827a080440e9c19544db7fa313e.1644339334.pdf'}",2018-04-26T00:00:00Z,Final Issued,True,EIP Test Account,1592,1592,Louisa Markow,3-3928-00001/00027,"{'createdAt': '2021-05-20T19:18:48.607Z', 'updatedAt': '2024-04-08T17:50:11.482537Z', 'version': 8}","3-3928-00001/00027 (issued 4/26/2018) -- Emissions taken from permit, pg. 7. Owned by Algonquin Gas Transmission, the Stony Point station was included on the list of stations for which EDF received compliance reports through their FOIA.  It’s located about 30 miles north-northwest of New York City and is within a few miles of a lot of densely-populated parts of Rockland County. It’s also right across the Hudson from much of northern Westchester County, and about 12 miles northeast of the border with New Jersey (which is very densely populated in that part). It abuts Harriman and Bear Mountain State Parks,  and is about two miles west of the Hudson. -- ",,,,,,,,,,,
,Expansion of an existing compressor station to support the Atlantic Bridge pipeline project.,"[{'id': 'kubs2capr14ct2tvgtj5rpu0kk', 'name': '2018.8.2_Chaplin CS_NSR Permit No. 034-0006.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 148284, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/b5g39o11857q97em15b1sfnud8'}, {'id': 'sv5uvdq6eh61b6blqjggsg4gfk', 'name': '2018.8.2_Chaplin CS_NSR Permit No. 034-0007.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 143681, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/05e042hjc964p2l3c74nct32so'}, {'id': '0jiset6r5p7a1eanp8qjg7f43o', 'name': '2018.8.2_Chaplin CS_NSR Permit No. 034-0008.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 142788, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/itk0efh7251277pug72rbqs66s'}, {'id': 'ja2oc5del10q51apv8603f4pe8', 'name': '2018.8.2_Chaplin CS_NSR Permit No. 034-0009.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 143001, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/5vn3n57eut4j16ukq73n6oab1s'}]","{'name': None, 'file_name': '2018.8.2_Chaplin CS_NSR Permit No. 034-0009.pdf', 'url': 'https://api.oilandgaswatch.org/d/dc/92/dc92cb11242a4ae1a52f5e1e77034a74.1644334652.pdf'}, {'name': None, 'file_name': '2018.8.2_Chaplin CS_NSR Permit No. 034-0008.pdf', 'url': 'https://api.oilandgaswatch.org/d/89/27/892732437316471680d432b8f084eebb.1644334652.pdf'}, {'name': None, 'file_name': '2018.8.2_Chaplin CS_NSR Permit No. 034-0006.pdf', 'url': 'https://api.oilandgaswatch.org/d/28/18/2818d63e3ac94268b29c0e14026b1962.1644334652.pdf'}, {'name': None, 'file_name': '2018.8.2_Chaplin CS_NSR Permit No. 034-0007.pdf', 'url': 'https://api.oilandgaswatch.org/d/83/a7/83a7aaea2d004a1d8b4707ef9f707650.1644334652.pdf'}",2018-08-02T00:00:00Z,Final Issued,True,EIP Test Account,1593,1593,Louisa Markow,"NSR Permit No. 034-0006, 034-0007, 034-0008, and 034-0009","{'createdAt': '2021-05-20T19:18:48.607Z', 'updatedAt': '2024-04-08T17:50:11.585785Z', 'version': 11}","NSR Permit No. 034-0006, 034-0007, 034-0008, and 034-0009 (issued 8/2/2018) -- Emissions taken from FERC EA (CP-16-9-000), Table 2.7.4-2. State permit issued for each engine, no facility-wide post mod totals. TV permit downloaded to S Drive. -- ",,,,,,,,,,,
,Permits authorizing the expansion of an existing compressor station to support the Atlantic Bridge pipeline project.,"[{'id': 'kbvjgfuqv945f3uigfu0u3s1js', 'name': '2018.9.4_Oxford CS_NSR Permit No. 144-0019.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 216918, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/f5584gf6453i341c7gkk6va774'}, {'id': '8ifonr09bp195bi4uiftlamo7s', 'name': '2018.9.4_Oxford CS_NSR Permit No. 144-0020.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 217671, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/f0eri5186l5qn3c7m7j2dth02o'}, {'id': 'vn22c8pne56b12bcns8c5ieqto', 'name': '2018.9.4_Oxford CS_NSR Permit No. 144-0021.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 218569, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/7cudmab6np18l0cnguuk9ncg40'}, {'id': '2ofjed3v9d437fe2cp0butofoo', 'name': '2018.9.4_Oxford CS_NSR Permit No. 144-0029.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 221042, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/h6ra9vnjvl3h9bd9grbjpqeeoo'}]","{'name': None, 'file_name': '2018.9.4_Oxford CS_NSR Permit No. 144-0021.pdf', 'url': 'https://api.oilandgaswatch.org/d/66/12/6612332a83964d0f8ed3770a6bec0cef.1644333664.pdf'}, {'name': None, 'file_name': '2018.9.4_Oxford CS_NSR Permit No. 144-0019.pdf', 'url': 'https://api.oilandgaswatch.org/d/4f/cd/4fcda1da038a4f8aaa174aaea8dacf49.1644333664.pdf'}, {'name': None, 'file_name': '2018.9.4_Oxford CS_NSR Permit No. 144-0020.pdf', 'url': 'https://api.oilandgaswatch.org/d/e9/d0/e9d09f8e32484095a4dbbabf8d649913.1644333664.pdf'}, {'name': None, 'file_name': '2018.9.4_Oxford CS_NSR Permit No. 144-0029.pdf', 'url': 'https://api.oilandgaswatch.org/d/75/75/7575a51f16f2471886e47015aff22e6d.1644333664.pdf'}",2018-09-04T00:00:00Z,Final Issued,True,EIP Test Account,1595,1595,Louisa Markow,"NSR Permit No. 144-0019, 144-0020, 144-0021, and 144-0029","{'createdAt': '2021-05-20T19:18:48.607Z', 'updatedAt': '2024-04-08T17:50:11.705628Z', 'version': 11}","NSR Permit No. 144-0019, 144-0020,  144-0021, and 144-0029 (issued 8/4/2018) -- Emissions taken from FERC EA (CP-16-9-000), Table 2.7.4-1. State permit issued for each engine, no facility-wide post mod totals. TV permit downloaded to S Drive. -- ",,,,,,,,,,,
2015-10-01T00:00:00Z,"Permit authorizing initial construction of the Weymouth Compressor Station to support the Atlantic Bridge Project. The initial plan approval was issued on January 11, 2019, with a second plan approval incorporating changes required by the July 12, 2019 Final Decision and the August 7, 2019 Final Decision on Reconsideration issued in August 2019.","[{'id': 'kv4rb05ig12lp7k99i5ds69c0g', 'name': '2019.1.11_Weymouth CS_Plan Approval_X266786.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 463876, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/eioiekr1s900dalufbjeti0d68'}, {'id': '6ni8o20fr97c9bdap65shmrub0', 'name': '2019.8.26_Weymouth CS_Plan Approval_X266786.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 4291668, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/fmsvunulsl67t3snqgphou5d9s'}]","{'name': None, 'file_name': '2019.1.11_Weymouth CS_Plan Approval_X266786.pdf', 'url': 'https://api.oilandgaswatch.org/d/f2/b0/f2b0a982c66f4f8a861d3b267d5c222e.1640557330.pdf'}, {'name': None, 'file_name': '2019.8.26_Weymouth CS_Plan Approval_X266786.pdf', 'url': 'https://api.oilandgaswatch.org/d/33/fa/33fad7a0a03648d99a3d4bd7375f4c0a.1640557330.pdf'}",2019-01-11T00:00:00Z,Final Issued,True,EIP Test Account,1597,1597,Louisa Markow,X266786,"{'createdAt': '2021-05-20T19:18:48.607Z', 'updatedAt': '2024-04-08T17:50:11.79943Z', 'version': 9}","X266786 (issued 1/11/2019 and 8/26/2019) -- Emissions are from revised permit application (pg. 34 of PDF, Table 3-16, submitted January 2017). Facility ID = Facility AQ # / SEIS ID #, MassDEP Account # = 4922 -- ",,,,,,,,,,,
