ActualOperatingYear,ActualorExpectedCompletionYear,CarbonMonoxideCO,Classification,CoalplantCO2eequivalency,Gas-poweredvehiclesequivalency,GreenhouseGasesCO2e,HazardousAirPollutantsHAPs,HazardousAirPollutantsHAPspotentiallbsperyear,IndustrySector,MortalitycostofadditionalCO2edeaths,NitrogenOxidesNOx,OperatingStatus,OperatingStatusSourceDocuments,OperatingStatusSourceDocuments_OLD,ParticulateMatterPM25,PermittingandEmissionsAccountingNotes,ProjectDescription,ProjectType,Published,ResearchNotes,SocialcostofadditionalCO2eLowerEstimate,SocialcostofadditionalCO2eUpperEstimate,SulfurDioxideSO2,VolatileOrganicCompoundsVOC,created_by,id,id_qaqc,modified_by,project_name,xata,ProductType,ConstructionStatusLastUpdated,ProjectCostmillion,CurrentExpectedOperatingYear,OriginalExpectedOperatingYear,TotalWetlandsAffectedPermanentlyacres,TotalWetlandsAffectedTemporarilyacres,PlasticsInventory,ConstructionStatusLastChecked,PlasticsInventory_ToAdd
2020/2022,2020/2022,226.1,New,0.06,46594.0,230609.0,11.8,23600.0,Natural Gas,47.0,144.2,Partially Operating,"[{'id': 'e3mftmeopp4pn1mug9b7bq4t34', 'name': '2019.9.11_3 Bear Libby Gas Plant_Original Application_Permit No. 7482M1.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 11962348, 'version': 4, 'url': 'https://us-east-1.storage.xata.sh/is4ftqrh9t71ldmt02fatots5k'}, {'id': 'hpivo8382h5tf6tdii16rullkg', 'name': '2020.5.29_3 Bear Libby Gas Plant_Petition for Party Status.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 218647, 'version': 4, 'url': 'https://us-east-1.storage.xata.sh/okn6fr91997j14al5g8r9gcktc'}, {'id': 'ucg841jks51mlcsu3jqc1kkikk', 'name': '2021.6.9_3 Bear Libby Gas Plant_Permit Application 7482M2.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 12157016, 'version': 4, 'url': 'https://us-east-1.storage.xata.sh/s34ebo0fp92an574ul6jlupr04'}]","{'name': None, 'file_name': '2019.9.11_3 Bear Libby Gas Plant_Original Application_Permit No. 7482M1.pdf', 'url': 'https://api.oilandgaswatch.org/d/db/de/dbde188b7722483988d1abf72a501ef0.1636565245.pdf'}, {'name': None, 'file_name': '2020.5.29_3 Bear Libby Gas Plant_Petition for Party Status.pdf', 'url': 'https://api.oilandgaswatch.org/d/a7/ae/a7ae9c5ad7124939ad6d0c010c022c20.1636565294.pdf'}, {'name': None, 'file_name': '2021.6.9_3 Bear Libby Gas Plant_Permit Application 7482M2.pdf', 'url': 'https://api.oilandgaswatch.org/d/d4/d6/d4d6a2f873e34c75af5674dae35f2a5e.1636565396.pdf'}",12.0,"7482 (issued 1/8/2018), 7482M1 (issued 4/8/2020), 7482M2 (draft permit issued 7/15/2021); Emissions taken from M2 pending mod., which would increase plant inlet gas volume from 60 MMSCFD to 85 MMSCFD, but result in emissions decreases across all pollutants (except for PM, which increased due to a corrected calculation error). (This would increase annual production from 21.9 to 31.025 MMscf.)

Updated with emissions from final M2 permit. (2/2/2022 GB)","Construction of a new cryogenic gas processing plant that would be capable of processing up to 60 million cubic feet of natural gas per day, and a subsequent permit amendment to increase daily production rates to 85 million cubic feet per day (from 21.9 to over 31 billion cubic feet per year).",Gas Processing Plant,True,"Application for Permit No. 7482M1 (submitted 9/11/2019), Petition for Party Status (submitted 5/29/2020).

Modification proposed to be authorized under 7482M2 are expected to be completed by 12/2022 (Permit Application, Section 1-E) ",10669456.0,39748955.0,236.4,185.5,EIP Test Account,2723,2723,Griffin Bird,3 Bear Libby Gas Plant,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-10-29T03:10:01.310209Z', 'version': 74}",,,,,,,,,,
2013,2013,51.0,New,0.03,23444.0,116031.0,10.0,20000.0,Natural Gas,24.0,39.0,Operating,[],,7.0,,Construction and re-permitting of a natural gas compressor station.,Compressor Station,True,,5368341.0,19999701.0,0.0,44.0,EIP Test Account,2724,2724,Courtney Bernhardt,3 Brothers Compressor Station - Re-permitting,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:43:56.285796Z', 'version': 50}",,,,,,,,,,
2018,2018,43.5,Expansion,0.02,20195.0,99954.0,9.5,19000.0,Natural Gas,20.0,49.4,Operating,[],,0.0,,Expansion of the 50 Buttes Gas Plant.,Gas Processing Plant,True,,4624515.0,17228586.0,0.0,63.5,EIP Test Account,2725,2725,Keene Kelderman,50 Buttes Gas Plant - Expansion,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:43:56.951752Z', 'version': 50}",,,,,,,,,,
2018,2018,85.64,Expansion,0.37,309380.0,1531239.0,,,Ammonia and Synthetic Fertilizers,313.0,72.96,Operating,[],,102.41,"GHGPSDTX155 (issued 1/5/2017), PSDTX1326 (issued 1/10/2014), 19778 (amended 1/10/2014 and 10/06/2014); Criteria from initial PSD NAPD draft permit, net for PM2.5 and NOx, project increases for remaining pollutants (pg 33/4). GHGs taken from GHGPSDTX155 NAPD draft permit (pg 109), which states: ""At the time of approval of the amendments of 1/10/2014 and 10/06/2014, Agrium anticipated producing as by-product large amounts of Carbon dioxide (CO2) and selling sufficient CO2 so that greenhouse gas (GHG) Prevention of Significant Deterioration (PSD) applicability review would not be required. Since then, market demand for CO2 has fallen and Agrium anticipates releasing to the atmosphere the CO2 which cannot be sold. The project authorized in 2014 was subject to PSD Review for criteria pollutant emission rate increases (authorized by Permit Nos. 19778 and PSDTX1326). Therefore, GHG PSD applicability review is now required.""",Expansion of an ammonia and urea plant.,Ammonia or Fertilizer,True,"According to the Preliminary Determination Summary associated with Permit Number GHGPSDTX155, construction was expected to be completed to be in 2018. No permit docs online under this RN. FOIA request flagged for GB on 10/18/2021 (AS).",70844970.0,263932240.0,3.49,8.5,EIP Test Account,2726,2726,Keene Kelderman,Borger Nitrogen Operations Ammonia/Urea Expansion,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:43:57.641387Z', 'version': 45}","Urea, Ammonia Fertilizer",,,,,,,,,
2021,2021,9.82,Expansion,,,,,,"Oil, Petrochemicals and Plastics",,5.42,Operating,"[{'id': 'st6q2192352vfes1o0n0fnnt8c', 'name': '2020.7.10_Air Liquide SMR Fan Replacement_Application Materials TCEQ Permit No. 713110.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 3273998, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/k41tm7capt1j50inmjk679ifo4'}]","{'name': None, 'file_name': '2020.7.10_Air Liquide SMR Fan Replacement_Application Materials TCEQ Permit No. 713110.pdf', 'url': 'https://api.oilandgaswatch.org/d/75/f8/75f82e9ec0854aa8afc8098cfb6d271f.1636568042.pdf'}",4.24,Emissions taken from technical review.,"An expansion project to authorize the replacement of the induced draft fan on the SMR furnace during a planned major plant turnaround in 2021. The new fan would allow the SMR furnace to process more natural gas into hydrogen, thus increasing the combustion emissions from the furnace’s existing burners.",Hydrogen Plant,True,"TCEQ Permit Application, Form PI-1 (07/10/2020)

Construction to take place 4/1-5/1 2021 ",,,-1.12,2.05,EIP Test Account,2727,2727,Louisa Markow,"Steam Methane Reformer Plant, SMR Furnace ID Fan Replacement Project","{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-04-08T17:48:10.819593Z', 'version': 8}",,,,,,,,,,
2022,2022,15.18,New,,,,,,Petrochemicals and Plastics,,17.93,Operating,"[{'id': '5ppne90a2d0p945hbrpgnijn7o', 'name': '12296637.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 7212708, 'version': 3, 'url': 'https://us-east-1.storage.xata.sh/og4865aest70l724sv3mlaoajg'}, {'id': 'hkb03cqi195ntcihquqhus3buk', 'name': '12347308.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 739910, 'version': 3, 'url': 'https://us-east-1.storage.xata.sh/hl5ahnv7693d99gsigo77v9bno'}]","{'name': 'General Stormwater Application (July 7, 2020)', 'file_name': '12296637.pdf', 'url': 'https://api.oilandgaswatch.org/d/4b/db/4bdbee807d8c4c099214103bad34c301.1641570903.pdf'}, {'name': 'Stormwater Construction General Permit No. LAR10N963 (Sept 16, 2020)', 'file_name': '12347308.pdf', 'url': 'https://api.oilandgaswatch.org/d/43/3d/433daa3bd5044f9abbd6ca4939e6a4d9.1641570894.pdf'}",9.65,"Criteria emissions taken from final permit, pg. 4.","Construction of a new Air Separation Unit (ASU) that would produce argon, nitrogen, and oxygen. The ASU would be located next to Exxon's Port Allen Lube Plant and Placid Refinery.",Other Inorganic Gases,True,"AS 3/7/23 - LDPES permit app states that commercial operation to begin in November 2022
https://edms.deq.louisiana.gov/app/doc/view?doc=13117395

Construction is expected to begin July 2020, operation expected May 2021 (LDEQ Application for Approval of Emissions of Air Pollutants from Part 70 Sources, Section 6 (submitted 3/9/2020))
https://edms.deq.louisiana.gov/app/doc/view.aspx?doc=12103864&ob=yes&child=yes Construction is expected to begin July 2020, operation expected May 2021 (permit app cover letter).

11/16/2021 cb: news reports indicate that the plant will supply Methanex's Geismar Methanol Plant.",,,0.31,2.96,EIP Test Account,2728,2728,Alexandra Shaykevich,Port Allen Air Separation Unit,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-05-30T13:37:39.246626Z', 'version': 10}",,2023-03-07T00:00:00Z,,,,,,,,
2023,2023,39.6,New,0.05,37883.0,187499.0,6.28,12560.0,Natural Gas,38.0,52.4,Partially Operating,"[{'id': 'uf6vve7prl1d5dn8v4i90epet0', 'name': '2020.10.29_Sabal Trail_Final Status Report under CP15-17_Phase 2.PDF', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 12860131, 'version': 3, 'url': 'https://us-east-1.storage.xata.sh/qik8e56v453uh3kdrvnm1e5uhc'}, {'id': '9opa7rbb1p68h7lqrcmvn41ksc', 'name': '2021.06.15_Sabal Trail_Extension of Time to Complete Construction.PDF', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 428306, 'version': 3, 'url': 'https://us-east-1.storage.xata.sh/jnsioqk8v94a564su7rb99psg0'}]","{'name': None, 'file_name': '2020.10.29_Sabal Trail_Final Status Report under CP15-17_Phase 2.PDF', 'url': 'https://api.oilandgaswatch.org/d/ee/15/ee15b3eb94b74d359a778fe01ce24977.1640018432.PDF'}, {'name': None, 'file_name': '2021.06.15_Sabal Trail_Extension of Time to Complete Construction.PDF', 'url': 'https://api.oilandgaswatch.org/d/df/59/df5987024a514af59dfff4b9026e6890.1640018412.PDF'}",0.0,"CO2e values are from FERC. The other criteria pollutants are from permit narrative pg 6 ""Facility-wide Emissions"". The CO2e values in the permit narrative are only an approximation. Phase II construction involves installing a 20,500 hp Solar Titan 130 gas turbine driven compressor unit; an additional unit of 20,500 hp will be installed during phase 3 (delayed to 2023) (FEIS pg. 63)",Construction of a new natural gas compressor station as part of the Sabal Trail Pipeline Project. Initial construction occurred during Phase 2 of the Sabal Trail Project. An additional turbine would be installed during Phase 3 of the project.,Compressor Station,True,"CO2e values are from FERC. The other criteria pollutants are from permit narrative pg 6 ""Facility-wide Emissions"". The CO2e values in the permit narrative are only an approximation. Phase II construction involves installing a 20,500 hp Solar Titan 130 gas turbine driven compressor unit; an additional unit of 20,500 hp will be installed during phase 3 (delayed to 2023) (FEIS pg. 63) CO2e values are from FERC. The other criteria pollutants are from permit narrative pg 6 ""Facility-wide Emissions"". The CO2e values in the permit narrative are only an approximation. Phase II construction involves installing a 20,500 hp Solar Titan 130 gas turbine driven compressor unit; an additional unit of 20,500 hp will be installed during phase 3 (delayed to 2023) (FEIS pg. 63)",8674910.0,32318293.0,5.2,55.6,EIP Test Account,2729,2729,Louisa Markow,Albany Compressor Station,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:43:58.265399Z', 'version': 56}",,2022-02-24T00:00:00Z,,,,,,,,
2015/2019,2015/2019,97.84,Expansion,0.04,29347.0,145247.0,,,Natural Gas,30.0,60.37,Operating,[],,20.51,"emissions from V5, change column","Modification to a compressor station that would supply gas to three existing pipelines in both directions. Will be able to provide 2,200 MMscfd gas flow to the north and 1,850 MM scfd gas flow to the south.",Compressor Station,True,"No new permits issued since 4/5/2019 (2360-00075-V7). App for expansion for MVP Southgate Project project expected Q4 2020/Q1 2021; criteria emissions decreased in V6 (GHGs increased from 145k to 230k), relative to V7, and emissions totals reflect V7. Criteria emissions taken from M7 (pg. 4); CO2e from V6 permit app (pg. 55). M7 authorized updates to equipment list and updated facility/emissions units lists to reflect as-built changes. No emissions increases in M7. No new permits issued since 4/5/2019 (2360-00075-V7). App for expansion for MVP Southgate Project project expected Q4 2020/Q1 2021; criteria emissions decreased in V6 (GHGs increased from 145k to 230k), relative to V7, and emissions totals reflect V7. Criteria emissions taken from M7 (pg. 4); CO2e from V6 permit app (pg. 55). M7 authorized updates to equipment list and updated facility/emissions units lists to reflect as-built changes. No emissions increases in M7.",6720061.0,25035521.0,0.77,5.3,EIP Test Account,2730,2730,Lottie Mitchell,Alexandria Compressor - Expansion,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:43:58.953947Z', 'version': 45}",,,,,,,,,,
2018,2018,35.48,Expansion,0.01,5676.0,28095.0,-4.25,-8500.0,Petrochemicals and Plastics,6.0,29.23,Operating,"[{'id': 's5bvbj7m110un23j0fjpr2ved8', 'name': '2013.11.15_DAQE-AN100050009-13 Construction Progress Notification.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 549107, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/rpg5e03pbh4bd180m8mfvl1jjk'}, {'id': '0jrmc18j0p0jh3rdik7r5pp5og', 'name': '2014.12.11_DAQE-AN100050009-13 Construction Status Notification and Permit Extension Request.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 667583, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/srbltdr8q911naojkod77gq4ks'}, {'id': 'cjq5iqgaod691ejik8ktlbdjm4', 'name': '2016.7.16_DAQE-AN100050009-13 Construction Status Notification and Permit Extension Request.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 938566, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/35sifi89u14plabsfctntcslrs'}, {'id': 'tno17qqq4d7al5ioupo95io6s4', 'name': '2017.11.7_Kinder Morgan Altamont Main Gas Plant_Permit Extension Request_DAQE-AN100050009-13.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 1896617, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/b4r7797b7h2s15ekbp1bqha120'}]","{'name': None, 'file_name': '2014.12.11_DAQE-AN100050009-13 Construction Status Notification and Permit Extension Request.pdf', 'url': 'https://api.oilandgaswatch.org/d/29/74/2974c629c122464a94cac276db5519e1.1639762966.pdf'}, {'name': None, 'file_name': '2013.11.15_DAQE-AN100050009-13 Construction Progress Notification.pdf', 'url': 'https://api.oilandgaswatch.org/d/2d/33/2d33e46d43a845cd8e5cfefce431be1e.1639762966.pdf'}, {'name': None, 'file_name': '2017.11.7_Kinder Morgan Altamont Main Gas Plant_Permit Extension Request_DAQE-AN100050009-13.pdf', 'url': 'https://api.oilandgaswatch.org/d/f7/54/f754a9c16b6241948de420318d6e1bc0.1639762683.pdf'}, {'name': None, 'file_name': '2016.7.16_DAQE-AN100050009-13 Construction Status Notification and Permit Extension Request.pdf', 'url': 'https://api.oilandgaswatch.org/d/ba/2b/ba2bd181643f4da38dbe69fdb70b3479.1639762966.pdf'}",3.44,"Emissions taken from final permit, page 1 paragraph 1.",Expansion projects that involve the installation of three additional engines and a process heater at the Altamont Main Gas Processing Plant. The additional equipment will increase the facility throughput capacity from 60 to 80 million standard cubic feet per day.,"Gas Processing Plant, Natural Gas Liquids Fractionator",True,"Construction Status Notification and Permit Extension Request for Permit No. DAQE-AN100050009-13 (11/7/2017) Emissions taken from final permit, page 1 paragraph 1.",1299855.0,4842599.0,0.11,-12.31,EIP Test Account,2731,2731,Alexandra Shaykevich,Altamont Main Gas Processing Plant - 2013 Expansion Project,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:43:59.687076Z', 'version': 50}",,,,,,,,,,
2021,2021,59.16,Expansion,0.01,6965.0,34471.0,-7.68,-15360.0,Natural Gas,7.0,33.48,Operating,"[{'id': 'uk7jjfqql93epbvtdfiijr3pko', 'name': '2021.8.26_DAQE-AN100050016-20 Initial Construction Notification.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 899317, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/1u8c4vu3q104f5dqretlni2u2g'}]","{'name': None, 'file_name': '2021.8.26_DAQE-AN100050016-20 Initial Construction Notification.pdf', 'url': 'https://api.oilandgaswatch.org/d/a0/8c/a08cef901b2e45be863495e5e8f159d5.1639763184.pdf'}",4.31,"Emissions taken from final permit, page 7-8 (change TPY).",Installation of a new process flare.,Gas Processing Plant,True,"cb 9/23/2021: emailed permit engineer, tdanderson@utah.gov, to check on project status.

cb 3/1/22: email from Tad Anderson (see above) that the flare has been installed and operating. Provided inspection report. Emissions taken from final permit, page 7-8 (change TPY).",1594850.0,5941599.0,0.0,26.94,EIP Test Account,2732,2732,Griffin Bird,Altamont Main Gas Processing Plant - Flare Replacement Project,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:44:00.45536Z', 'version': 47}",,2022-03-01T00:00:00Z,,,,,,,,
