year_index,2021-05-03
nox_tons,nox
compressor_name,compressor_name_s
pm10_tpy,pm10_1
product,product
num_modified_compressor_stations,no_modified_compressor_stations
so2_tons,so2
cost,cost_millions
pipeline_operator_name,pipeline_operator_name
total_wetlands_affected_permanently_acres,total_wetlands_affected_permanently_acres
num_new_compressor_stations,no_new_compressor_stations
construction_duration_months,construction_duration_months
project_type,project_type
anticipated_construction_start_date,anticipated_construction_start_date_s
project_folder_eip_url,link_to_pipeline_map_s_and_project_file_folder
actual_inservice_date,actual_in_service_date_s
anticipated_construction_start_date,anticipated_construction_start_date_s
pm2_5_tons,pm2_5
project_status_last_updated,project_status_last_updated_by_eip_staff
miles,miles
voc_tons,voc
co2_tpy,co2e_1
co_tpy,co_1
num_waterbody_crossings,total_no_of_waterbody_crossings
project_website,project_website
status,status
co2_tons,co2e
pipeline_diameter_in,pipeline_diameter_inches
voc_tpy,vocs
notes,notes
so2_tpy,so2_1
pipelines_states,affected_state_s
haps_tons,haps
actual_construction_start_date,actual_construction_start_date
additional_capacity_mmcfpd,additional_capacity_mmcf_d
nox_tpy,nox_1
project_name,project_name
permanent_construction_workforce,permanent_construction_workforce_min_max_no_of_permanent_employees
pm2_5_tpy,pm2_5_1
haps_tpy,haps_1
total_wetlands_affected_temporarily_acres,total_wetlands_affected_temporarily_acres
pm10_tons,pm10
project_description,project_description
ferc_docket_no,ferc_docket_no
compressor_states,state_s
co_tons,co
anticipated_in_service_date,anticipated_in_service_date_s
